episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
220,1.0,-1.4433680738316543,-1.7133273433453504,179.0205772095052,30.0,3.0,9,0.0,False,True,0.8445112618836502,1,16.598090036588506,768.472,prepare,0.0,0
220,2.0,-1.4431944883679375,-1.7132971322473551,179.00105468007843,-30.0,1.5,0,39.74062385325056,False,True,0.8434665395971591,1,16.598090036588506,768.57,in_progress,0.0,0
220,3.0,-1.4625815292675528,-1.70825759532339,178.0804187360688,-30.0,3.0,1,39.37118519054907,False,True,0.9604467240633432,1,16.598090036588506,768.637,in_progress,0.0,0
220,4.0,-1.4944127924018882,-1.691898490183085,174.3798004865358,0.0,1.5,4,50.8776832122564,False,True,1.1528023373411376,1,16.598090036588506,768.703,in_progress,0.0,0
220,5.0,-1.5309761372927253,-1.6798419336076917,172.18543111234808,-30.0,1.5,0,37.27010486184785,False,True,1.3735141019552135,2,16.598090036588506,768.776,in_progress,0.0,0
220,6.0,-1.5889117412387177,-1.6576877326065382,168.91599769042625,-15.0,3.0,3,35.63402955511626,False,True,1.7233464058447914,2,16.598090036588506,768.838,in_progress,0.0,0
220,7.0,-1.643163227213409,-1.626810908060325,164.4247337553084,-15.0,1.5,2,33.342149635552246,False,True,2.051293540804199,2,16.598090036588506,768.903,in_progress,0.0,0
220,8.0,-1.7124396818254035,-1.5795667937633275,158.54417925759495,-30.0,1.5,0,29.82934715455183,False,True,2.4703439594610956,3,16.598090036588506,768.972,in_progress,0.0,0
220,9.0,-1.780471641080404,-1.520557083469706,151.64488101630482,30.0,3.0,9,25.32131656509472,False,True,2.860342576969687,3,16.598090036588506,769.035,in_progress,0.0,0
220,10.0,-1.8554796398620195,-1.4552700199659467,147.23309198780237,30.0,1.5,8,20.260712560042563,False,True,3.3070333552851965,3,16.598090036588506,769.097,in_progress,0.0,0
220,11.0,-1.9322118041594951,-1.4129626534399822,148.303985446489,30.0,1.5,8,16.919262182610815,False,True,3.7659333344572428,4,16.598090036588506,769.176,in_progress,0.0,0
220,12.0,-2.0495288853617795,-1.3672231758932856,153.00136644641827,0.0,1.5,4,17.864097397853197,False,True,5.028831425166022,4,16.598090036588506,769.242,in_progress,0.0,0
220,13.0,-2.1537725934567145,-1.3252561814275943,155.09033262520185,30.0,1.5,8,12.213399350767904,False,True,5.70045920260012,5,16.598090036588506,769.292,in_progress,0.0,0
220,14.0,-2.2284244508732964,-1.2939402816682406,155.77974772800889,-30.0,3.0,1,14.421969793695794,False,True,7.355936974795481,6,16.598090036588506,769.366,in_progress,0.0,0
220,15.0,-2.350823151075503,-1.2397882827901114,155.85139665902096,-15.0,3.0,3,19.9700438773357,False,True,8.664489568909762,6,16.598090036588506,769.446,in_progress,0.0,0
220,16.0,-2.4598708581584123,-1.1653172920728436,151.0272744364641,-30.0,3.0,1,25.43995833385506,False,True,9.336740647234713,7,16.598090036588506,769.504,in_progress,0.0,0
220,17.0,-2.5521452564653675,-1.085462018635994,145.57335277588504,-30.0,3.0,1,29.73785172540276,False,True,10.124677977717033,7,16.598090036588506,769.568,in_progress,0.0,0
