episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
20,1.0,-1.443362720860342,-1.713151219207646,178.96865812421197,30.0,1.5,8,0.0,False,True,0.8444852810091855,1,16.598090036588506,79.541,prepare,0.0,0
20,2.0,-1.4431944883678638,-1.7132971322473562,179.00105468007843,30.0,1.5,8,39.74062385325061,False,True,0.8434665395971588,1,16.598090036588506,79.639,in_progress,0.0,0
20,3.0,-1.4571825590574823,-1.7163268273397254,179.6030919404984,-30.0,3.0,1,39.52444167009509,False,True,0.9276324102663837,1,16.598090036588506,79.69,in_progress,0.0,0
20,4.0,-1.478968834292816,-1.721436801965034,-179.3660361556363,-30.0,3.0,1,39.131467757076656,False,True,1.0587059555510505,1,16.598090036588506,79.768,in_progress,0.0,0
20,5.0,-1.5218794995212628,-1.705165304825374,176.6342675595203,30.0,1.5,8,39.165327354943976,False,True,1.3178083518210058,2,16.598090036588506,79.831,in_progress,0.0,0
20,6.0,-1.5627003227915273,-1.6918018308143647,173.77222036758212,0.0,3.0,5,47.72627967193074,False,True,1.5642165995212527,2,16.598090036588506,79.891,in_progress,0.0,0
20,7.0,-1.620210087642451,-1.6838055135813341,173.23012604601456,0.0,3.0,5,47.008230424234135,False,True,1.910979411439053,2,16.598090036588506,79.966,in_progress,0.0,0
20,8.0,-1.6901814028781763,-1.6726147184085394,172.60172770783223,0.0,1.5,4,49.06405299661307,False,True,2.332932838551883,3,16.598090036588506,80.025,in_progress,0.0,0
20,9.0,-1.7698529454347287,-1.6586906721132715,171.8384823098837,-30.0,3.0,1,35.701656089860606,False,True,2.807327165123228,3,16.598090036588506,80.09,in_progress,0.0,0
20,10.0,-1.8589980037802223,-1.6364952289076886,169.19933133306603,-15.0,3.0,3,33.84075037599933,False,True,3.342600682525856,3,16.598090036588506,80.162,in_progress,0.0,0
20,11.0,-1.9615074984339738,-1.589060418600737,163.4068142656827,-30.0,3.0,1,30.05796536677208,False,True,3.956383575348226,4,16.598090036588506,80.238,in_progress,0.0,0
20,12.0,-2.075969158019617,-1.5091961423091276,154.00145903834968,-30.0,3.0,1,24.235346407466743,False,True,4.9660845650623076,4,16.598090036588506,80.312,in_progress,0.0,0
20,13.0,-2.1921260987436413,-1.3927292454655107,142.06438152840553,-30.0,3.0,1,17.863778305691582,False,True,5.820928684533899,5,16.598090036588506,80.354,in_progress,0.0,0
20,14.0,-2.240345607311882,-1.3299712038152727,135.80430716040388,0.0,1.5,4,22.550769994692484,False,True,7.247983054525083,5,16.598090036588506,80.44,in_progress,0.0,0
20,15.0,-2.3394033188216237,-1.1822952266039306,121.70662598110124,30.0,1.5,8,17.52360042837887,False,True,8.955268496148463,6,16.598090036588506,80.506,in_progress,0.0,0
20,16.0,-2.4040344232380257,-1.081909797669878,113.63673745146835,30.0,3.0,9,19.224150300686503,False,True,9.664850294993077,7,16.598090036588506,80.563,in_progress,0.0,0
20,17.0,-2.4704098145827476,-0.9908645895965955,110.23386110951284,30.0,1.5,8,22.048871475765516,False,True,10.554996240938806,7,16.598090036588506,80.631,in_progress,0.0,0
20,18.0,-2.5571523646327803,-0.8988210764380002,111.99515123552948,30.0,3.0,9,26.681844818150918,False,True,11.221631543120655,8,16.598090036588506,80.691,in_progress,0.0,0
20,19.0,-2.6531523722887416,-0.8094314954528916,120.0613838605864,-15.0,1.5,2,32.06136773239039,False,True,11.925953601551706,8,16.598090036588506,80.755,in_progress,0.0,0
20,20.0,-2.7386563196965588,-0.7338391206085095,128.12922904237155,-30.0,3.0,1,37.316932195414594,False,True,12.468926075909192,8,16.598090036588506,80.835,in_progress,0.0,0
20,21.0,-2.8440483893009425,-0.6171778753114252,130.83547346115498,-15.0,1.5,2,36.01683371323979,False,True,13.277243610725705,9,16.598090036588506,80.899,in_progress,0.0,0
20,22.0,-2.9121314572259815,-0.5123739910698963,127.33777308908118,-30.0,1.5,0,32.42782432295785,False,True,13.967536010198636,9,16.598090036588506,80.97,in_progress,0.0,0
20,23.0,-2.9760169297797745,-0.3932962309286258,122.91516045860946,0.0,3.0,5,36.58695192284241,False,True,14.741208478127966,10,16.598090036588506,81.009,in_progress,0.0,0
20,24.0,-3.0039578000893514,-0.3347712458111335,121.05654178254478,-15.0,3.0,3,27.972679848649392,False,True,15.117814012739956,10,16.598090036588506,81.101,in_progress,0.0,0
20,25.0,-3.0751177739229387,-0.17489093956504848,116.79310520079972,-15.0,3.0,3,25.072294848547088,False,True,16.18404762317656,10,16.598090036588506,81.156,in_progress,0.0,0
20,26.0,-3.117154476537778,-0.05491046976092678,113.36853918707415,-15.0,3.0,3,23.882571021173955,False,True,16.943994732909058,11,16.598090036588506,81.235,in_progress,0.0,0
20,27.0,-3.1640506229442518,0.12276866195934036,108.06781647703706,-15.0,1.5,2,23.489682866193778,False,True,18.09067639709859,11,16.598090036588506,81.309,in_progress,0.0,0
20,28.0,-3.1888853707750013,0.316190165562769,100.13992106166363,-15.0,1.5,2,25.17139107384273,False,True,19.257795900915873,12,16.598090036588506,81.357,in_progress,0.0,0
20,29.0,-3.1933026278142336,0.39461934914325636,97.23645109954408,-30.0,3.0,1,26.17712005811781,False,True,19.707109223272838,12,16.598090036588506,81.436,in_progress,0.0,0
20,30.0,-3.187774271649955,0.5705035187065044,91.61813454931695,-30.0,3.0,1,29.538298978241514,False,True,20.731746237911043,13,16.598090036588506,81.501,in_progress,0.0,0
20,31.0,-3.161264737432199,0.7270446979353176,85.32734916777167,-15.0,3.0,3,33.452940459680576,False,True,21.56653758988468,13,16.598090036588506,81.563,in_progress,0.0,0
20,32.0,-3.1225489052528586,0.8765048852892854,78.99552844169101,15.0,1.5,6,37.52551427421955,False,True,22.430242874001067,14,16.598090036588506,81.634,in_progress,0.0,0
20,33.0,-3.080542484564214,1.0465874973752465,74.17222961203974,0.0,3.0,5,47.54050932408997,False,True,23.46638403666498,14,16.598090036588506,81.694,in_progress,0.0,0
20,34.0,-3.0526381122009827,1.1962542589719953,75.31742425687777,-15.0,3.0,3,37.909836903263354,False,True,24.383633054410105,15,16.598090036588506,81.768,in_progress,0.0,0
20,35.0,-3.015443424325951,1.3771038334960692,76.95550159426872,-30.0,3.0,1,37.18461193660632,False,True,25.494604806235127,15,16.598090036588506,81.836,in_progress,0.0,0
20,36.0,-2.9647595652323586,1.5467092015897157,74.77620153628249,-15.0,3.0,3,33.783439261171516,False,True,26.52429801189249,16,16.598090036588506,81.901,in_progress,0.0,0
20,37.0,-2.9010297610029037,1.714381883897627,71.24688911272719,0.0,3.0,5,33.28281542968782,False,True,27.176616118059222,16,16.598090036588506,81.966,in_progress,0.0,0
20,38.0,-2.840634258375227,1.874657628239515,70.14645657719399,-15.0,3.0,3,18.468404456572703,False,True,27.964491712463346,17,16.598090036588506,82.031,in_progress,0.0,0
20,39.0,-2.7671832770284266,2.0699826051984798,69.38042291505275,-30.0,1.5,0,8.308173077618445,False,True,28.525208144702873,17,16.598090036588506,82.095,in_progress,0.0,0
20,40.0,-2.68056837227786,2.261692471068592,66.81460155302977,0.0,3.0,5,0.09375,False,False,28.668760423180146,17,16.598090036588506,82.151,in_progress,0.0,0
20,41.0,-2.62720209507645,2.3731165000023666,65.74567226819461,15.0,1.5,6,0.07500000000000001,False,False,29.076202768104338,17,16.598090036588506,82.23,in_progress,0.0,0
20,42.0,-2.5558024402145265,2.560296153151401,67.90488437958004,15.0,1.5,6,0.07500000000000001,True,False,29.651674361180614,18,16.598090036588506,82.289,off_track,0.0,0
21,1.0,-2.265871831508547,-1.6590443181329912,165.3537402078809,0.0,3.0,5,0.0,False,True,0.8439650592711262,5,16.598090036588506,82.435,prepare,0.0,0
21,2.0,-2.2657479764936785,-1.658895492065541,165.31478359886592,-30.0,1.5,0,38.58039707203611,False,True,0.8434705420406017,5,16.598090036588506,82.487,in_progress,0.0,0
21,3.0,-2.270778144915067,-1.6587774145505043,165.70860006156835,-30.0,3.0,1,38.50256928395446,False,True,0.8729666016531363,5,16.598090036588506,82.566,in_progress,0.0,0
21,4.0,-2.2905924577044505,-1.6432538106176973,163.22419059795473,0.0,3.0,5,47.47820618090694,False,True,1.012153735995399,5,16.598090036588506,82.637,in_progress,0.0,0
21,5.0,-2.3243560330392508,-1.6264161547712743,161.7586873541748,-30.0,3.0,1,37.531452863129836,False,True,1.23464387587464,5,16.598090036588506,82.703,in_progress,0.0,0
21,6.0,-2.3686000719955063,-1.6090308863266627,160.95976201010663,-15.0,3.0,3,38.460001732221016,False,True,1.5609220136987734,5,16.598090036588506,82.768,in_progress,0.0,0
21,7.0,-2.4189955518226394,-1.577361569969748,157.80058118835808,0.0,3.0,5,46.93862136760155,False,True,1.9083547520168789,5,16.598090036588506,82.834,in_progress,0.0,0
21,8.0,-2.481645301463498,-1.5410730084436848,155.5073529859427,-15.0,3.0,3,36.01018975889076,False,True,2.326807408355469,6,16.598090036588506,82.892,in_progress,0.0,0
21,9.0,-2.545686053641619,-1.498729559453161,152.74314486792744,-30.0,1.5,0,34.91717541745414,False,True,2.777483435118275,6,16.598090036588506,82.958,in_progress,0.0,0
21,10.0,-2.6199865460511647,-1.4333576558274246,147.534790466283,-15.0,1.5,2,34.310049993118795,False,True,3.2361989748396796,6,16.598090036588506,83.036,in_progress,0.0,0
21,11.0,-2.6903129781538166,-1.3543784400087775,141.3408879770623,0.0,3.0,5,39.65994048730062,False,True,3.840961362717542,6,16.598090036588506,83.094,in_progress,0.0,0
21,12.0,-2.7511028273947153,-1.2813144138909267,137.326460291397,-15.0,1.5,2,29.89176036418906,False,True,4.39023864515204,7,16.598090036588506,83.165,in_progress,0.0,0
21,13.0,-2.8240226581590897,-1.1925710847853037,134.12631609825192,30.0,3.0,9,27.69478426435201,False,True,5.0225787831676385,7,16.598090036588506,83.241,in_progress,0.0,0
21,14.0,-2.9082801612040354,-1.0939479104400074,132.66265940273243,30.0,3.0,9,23.53032258298097,False,True,5.606191712502994,7,16.598090036588506,83.265,in_progress,0.0,0
21,15.0,-2.9517812009150286,-1.0518817799720912,133.45330759831526,-30.0,3.0,1,21.16792472741787,False,True,5.916612514249929,7,16.598090036588506,83.362,in_progress,0.0,0
21,16.0,-3.0678990734748663,-0.9346973072597742,134.04535805939292,0.0,1.5,4,19.93931300151065,False,True,6.773807093095943,8,16.598090036588506,83.436,in_progress,0.0,0
21,17.0,-3.162338303879261,-0.8312613817287854,133.25335477138324,-15.0,3.0,3,9.57421045591229,False,True,7.364985273051408,8,16.598090036588506,83.497,in_progress,0.0,0
21,18.0,-3.2505439126693636,-0.7406994105682952,133.56198181302335,-30.0,1.5,0,4.338246730958993,False,True,7.99960068683176,9,16.598090036588506,83.566,in_progress,0.0,0
21,19.0,-3.333190508691964,-0.6401435800749576,131.78829787798475,-30.0,3.0,1,0.07500000000000001,False,False,8.687180794402833,9,16.598090036588506,83.629,in_progress,0.0,0
21,20.0,-3.4072013356691553,-0.5339541967852579,128.61987755094393,15.0,3.0,7,0.07500000000000001,False,False,9.361123791350602,9,16.598090036588506,83.699,in_progress,0.0,0
21,21.0,-3.484170434811141,-0.4186893154763915,126.29999122309248,-30.0,1.5,0,0.07500000000000001,False,False,10.125963223702982,10,16.598090036588506,83.757,in_progress,0.0,0
21,22.0,-3.5598502425503322,-0.3179283043985994,126.59696168760222,15.0,3.0,7,0.07500000000000001,False,False,10.95553056586522,10,16.598090036588506,83.819,in_progress,0.0,0
21,23.0,-3.6439577863346835,-0.2119441811356665,127.78280424013995,-15.0,1.5,2,0.07500000000000001,True,False,11.686326856664579,11,16.598090036588506,83.885,off_track,0.0,0
22,1.0,-2.7299937753274968,-1.0093033260808784,113.34996876108237,-30.0,3.0,1,0.0,False,True,0.834440343639628,7,16.598090036588506,84.018,prepare,0.0,0
22,2.0,-2.729953871200386,-1.0094816484663771,113.34046084830617,-30.0,1.5,0,38.0696323798053,False,True,0.8333399118280627,7,16.598090036588506,84.091,in_progress,0.0,0
22,3.0,-2.7321633792173197,-1.0017977709300556,113.27699974208065,-15.0,3.0,3,38.05447122284562,False,True,0.8814880392925593,7,16.598090036588506,84.157,in_progress,0.0,0
