episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
0,1.0,-1.443349172866874,-1.7132958501520035,179.0010922442201,0.0,2.0,4,0.0,False,True,0.8443985105269133,1,16.598090036588506,5.468,prepare,0.0,0
0,2.0,-1.44319448836786,-1.7132971322473565,179.00105468007843,-15.0,4.0,3,52.98749847100084,False,True,0.8434665395971583,1,16.598090036588506,5.527,in_progress,0.0,0
0,3.0,-1.452748325314051,-1.7152589917894348,179.62353541464688,-30.0,4.0,1,52.80867843654674,False,True,0.9009555605393392,1,16.598090036588506,5.591,in_progress,0.0,0
0,4.0,-1.4691841242599752,-1.7123129934705341,178.99879097062413,0.0,2.0,4,52.90431534010871,False,True,1.0000809246308484,1,16.598090036588506,5.657,in_progress,0.0,0
0,5.0,-1.5014469554784258,-1.7154363047973695,179.71142266777005,-15.0,2.0,2,52.76194050398989,False,True,1.1943431284151385,2,16.598090036588506,5.724,in_progress,0.0,0
0,6.0,-1.546378579106607,-1.7197509452538688,-179.26255262470474,30.0,4.0,9,52.30372095261669,False,True,1.464888403654989,2,16.598090036588506,5.788,in_progress,0.0,0
0,7.0,-1.6033028049342821,-1.7288294673289004,-176.94700758885224,0.0,4.0,5,64.20247299125349,False,True,1.8075157537351099,2,16.598090036588506,5.856,in_progress,0.0,0
0,8.0,-1.6745617696982273,-1.7558604882805566,-171.73275280769224,0.0,4.0,5,60.770599273810326,False,True,2.235866368364147,3,16.598090036588506,5.923,in_progress,0.0,0
0,9.0,-1.762414442516259,-1.784381143320667,-168.26174740555152,-15.0,2.0,2,45.7010561574545,False,True,2.7724833048294246,3,16.598090036588506,5.993,in_progress,0.0,0
0,10.0,-1.8706205975094023,-1.806794457823401,-168.22323598120545,-15.0,4.0,3,43.42587632374227,False,True,3.426123592595377,3,16.598090036588506,6.067,in_progress,0.0,0
0,11.0,-1.98035618178129,-1.8210485073728433,-170.01357977944934,-30.0,2.0,0,41.98283349547064,False,True,4.088330514837748,4,16.598090036588506,6.131,in_progress,0.0,0
0,12.0,-2.101838779263594,-1.8207060471197034,-174.5747318666657,30.0,2.0,8,40.60850647303194,False,True,4.641072341554413,4,16.598090036588506,6.201,in_progress,0.0,0
0,13.0,-2.2273356785385556,-1.8169936528108785,-177.57980053149006,-30.0,4.0,1,37.080462430226255,False,True,5.378135698622014,4,16.598090036588506,6.251,in_progress,0.0,0
0,14.0,-2.3488931188612434,-1.8233842659921098,-177.49421103859711,-15.0,2.0,2,33.55036258255824,False,True,6.076809299656816,5,16.598090036588506,6.331,in_progress,0.0,0
0,15.0,-2.4854758745090186,-1.8178185925154766,-179.90733491157883,-30.0,4.0,1,28.857319530485803,False,True,6.329276719469921,5,16.598090036588506,6.393,in_progress,0.0,0
0,16.0,-2.6113773395591586,-1.807327167221652,177.79866022500073,-15.0,2.0,2,20.37352012935676,False,True,6.701820974965285,5,16.598090036588506,6.459,in_progress,0.0,0
0,17.0,-2.755341854954489,-1.7813827039293293,173.61062587907668,15.0,4.0,7,11.645869982943074,False,True,7.412433980820324,6,16.598090036588506,6.516,in_progress,0.0,0
0,18.0,-2.906423957763681,-1.7563180479691007,172.22274478828277,15.0,2.0,6,3.267851009222494,False,True,8.14873211321433,6,16.598090036588506,6.59,in_progress,0.0,0
0,19.0,-3.0578949395907906,-1.7476885834403457,174.47372494848153,-15.0,4.0,3,0.1,False,False,8.170201049266732,6,16.598090036588506,6.656,in_progress,0.0,0
0,20.0,-3.2172451955815644,-1.7434428879222463,176.34133504342907,-30.0,4.0,1,0.1,False,False,8.170201049266732,6,16.598090036588506,6.727,in_progress,0.0,0
0,21.0,-3.3762444690038937,-1.7195091907087021,173.50258770722158,-30.0,4.0,1,0.1,True,False,8.458453433572176,6,16.598090036588506,6.795,off_track,0.0,0
1,1.0,-2.265805772905481,-1.6588813932458852,165.3070360557115,-30.0,4.0,1,0.0,False,True,0.8438289119268229,5,16.598090036588506,6.933,prepare,0.0,0
1,2.0,-2.265747976493675,-1.6588954920655419,165.31478359886592,0.0,4.0,5,64.30066178672686,False,True,0.8434705420406017,5,16.598090036588506,6.994,in_progress,0.0,0
1,3.0,-2.2740445587111493,-1.6549318409202118,164.93726618207583,15.0,4.0,7,51.291077979281376,False,True,0.8978766699129087,5,16.598090036588506,7.062,in_progress,0.0,0
1,4.0,-2.29768928714927,-1.6490394848774648,165.01491520697306,0.0,4.0,5,64.25494605823796,False,True,1.0446772486770666,5,16.598090036588506,7.125,in_progress,0.0,0
1,5.0,-2.3354353271113766,-1.6359464227719935,164.3848083152364,-15.0,2.0,2,51.29220279985209,False,True,1.2846578613349369,5,16.598090036588506,7.192,in_progress,0.0,0
1,6.0,-2.3865173630445735,-1.605460236628605,160.8132192422617,-15.0,4.0,3,50.6109380787911,False,True,1.650855083919435,5,16.598090036588506,7.26,in_progress,0.0,0
1,7.0,-2.441402274310248,-1.5670628866024974,156.59975640383288,-15.0,4.0,3,49.122929299003545,False,True,2.0463065109728813,5,16.598090036588506,7.327,in_progress,0.0,0
1,8.0,-2.510519710048675,-1.5060321647470698,150.26830834718436,-30.0,2.0,0,48.452517058540494,False,True,2.599684912543064,6,16.598090036588506,7.394,in_progress,0.0,0
1,9.0,-2.572019709463259,-1.4361013958420228,143.55077142248348,-30.0,2.0,0,49.58601467079013,False,True,3.1603431628491245,6,16.598090036588506,7.463,in_progress,0.0,0
