episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
480,1.0,-1.4432402180326864,-1.7132722297138734,179.00346457950567,-30.0,4.0,1,0.0,False,True,0.8437429327946496,1,16.598090036588506,1345.133,prepare,0.0,0
480,2.0,-1.4432612243105625,-1.7133520237866082,179.02038864331095,-15.0,4.0,3,52.99302663572495,False,True,0.8438666487429793,1,16.598090036588506,1345.21,in_progress,0.0,0
480,3.0,-1.4521884916356618,-1.7108040190327978,178.48980260227367,-30.0,4.0,1,52.7434616145123,False,True,0.8977413127631071,1,16.598090036588506,1345.268,in_progress,0.0,0
480,4.0,-1.4763341697409182,-1.7039754086583554,177.0022562545909,-15.0,4.0,3,52.07476085936887,False,True,1.0434544663012393,1,16.598090036588506,1345.345,in_progress,0.0,0
480,5.0,-1.5138374693673187,-1.688208557978717,173.66094596647739,30.0,2.0,8,50.52007853724809,False,True,1.2699612284347228,2,16.598090036588506,1345.418,in_progress,0.0,0
480,6.0,-1.5661047211421697,-1.679471538182076,172.81530132946872,-15.0,4.0,3,49.67701841758241,False,True,1.585165918504277,2,16.598090036588506,1345.472,in_progress,0.0,0
480,7.0,-1.6180749176202145,-1.6794899823912006,173.80131680706322,30.0,2.0,8,49.709315603680245,False,True,1.8982692959256828,2,16.598090036588506,1345.538,in_progress,0.0,0
480,8.0,-1.6774646286979908,-1.680954513349587,175.6052835431435,-30.0,2.0,0,49.89056656962265,False,True,2.2560214344481326,3,16.598090036588506,1345.591,in_progress,0.0,0
480,9.0,-1.7525176931238264,-1.6888263093406408,178.6987084496671,-15.0,4.0,3,50.66587869796777,False,True,2.70528482186649,3,16.598090036588506,1345.666,in_progress,0.0,0
480,10.0,-1.8294099738351774,-1.683121860234604,177.806023435063,-15.0,2.0,2,49.86933128685898,False,True,3.1680521181673473,3,16.598090036588506,1345.744,in_progress,0.0,0
480,11.0,-1.9335287926436235,-1.6556645922758586,172.76951710594213,-30.0,2.0,0,46.81803554513064,False,True,3.793114295911425,4,16.598090036588506,1345.812,in_progress,0.0,0
480,12.0,-2.0425275040380577,-1.6074931663765064,165.5305741528411,-15.0,4.0,3,41.50800180568272,False,True,4.621054870735081,4,16.598090036588506,1345.887,in_progress,0.0,0
480,13.0,-2.1496221662056936,-1.5407267389127197,157.2713542917731,-30.0,2.0,0,37.032886341054464,False,True,5.347174978707199,4,16.598090036588506,1345.955,in_progress,0.0,0
480,14.0,-2.2550332409357083,-1.4510630533619875,146.89498445289865,0.0,4.0,5,40.03842133051195,False,True,6.779893533661784,5,16.598090036588506,1346.014,in_progress,0.0,0
480,15.0,-2.346009369404367,-1.368110968183712,140.31585841329513,-15.0,2.0,2,32.92957054325238,False,True,7.519727068426158,6,16.598090036588506,1346.076,in_progress,0.0,0
480,16.0,-2.451642767205752,-1.2746980131621546,136.46723371101208,-15.0,2.0,2,37.267082579435154,False,True,8.712032203881261,6,16.598090036588506,1346.142,in_progress,0.0,0
480,17.0,-2.5474556865302485,-1.1788825181223794,134.3205338161594,-15.0,4.0,3,42.55776591276337,False,True,9.470764753617313,7,16.598090036588506,1346.21,in_progress,0.0,0
480,18.0,-2.6381264127367707,-1.0751036431707706,132.65763364582705,-15.0,2.0,2,47.71478564919214,False,True,10.313353745615148,7,16.598090036588506,1346.266,in_progress,0.0,0
480,19.0,-2.720069752894478,-0.9568237152006716,128.6275948622183,-15.0,2.0,2,52.78891035554209,False,True,11.125983688204702,8,16.598090036588506,1346.345,in_progress,0.0,0
