episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
320,1.0,-1.4433388591638328,-1.7134654633226287,179.03833615400984,-30.0,4.0,1,0.0,False,True,0.844330336387969,1,16.598090036588506,877.269,prepare,0.0,0
320,2.0,-1.4431944883679741,-1.7132971322473545,179.00105468007843,-15.0,4.0,3,52.98749847100069,False,True,0.8434665395971578,1,16.598090036588506,877.333,in_progress,0.0,0
320,3.0,-1.4536477084842296,-1.7146240365171248,179.3624920022209,-30.0,4.0,1,52.87163712713377,False,True,0.9063966613778113,1,16.598090036588506,877.402,in_progress,0.0,0
320,4.0,-1.4753487887569237,-1.7031800142020899,176.4203374229558,-30.0,4.0,1,51.99464537888363,False,True,1.037546168659286,1,16.598090036588506,877.47,in_progress,0.0,0
320,5.0,-1.5160148977182457,-1.6845394926483483,172.77821892673327,30.0,2.0,8,50.15445420301208,False,True,1.283210146460493,2,16.598090036588506,877.537,in_progress,0.0,0
320,6.0,-1.5601143381772096,-1.6644931413749613,169.1988091947214,30.0,2.0,8,48.175694285958436,False,True,1.5496089032092382,2,16.598090036588506,877.601,in_progress,0.0,0
320,7.0,-1.6276650436760889,-1.6581980696421352,170.70663598597193,15.0,2.0,6,47.585780373311295,False,True,1.9568046586426167,2,16.598090036588506,877.67,in_progress,0.0,0
320,8.0,-1.6974161110327435,-1.6710432425156196,176.1795729085575,-15.0,2.0,2,48.91114740203864,False,True,2.3765756084129217,3,16.598090036588506,877.739,in_progress,0.0,0
320,9.0,-1.7721061726266898,-1.683597608165061,-179.98393694420685,-15.0,4.0,3,50.08552200917913,False,True,2.8228764115749927,3,16.598090036588506,877.802,in_progress,0.0,0
320,10.0,-1.862304326131567,-1.6876280343124972,-179.20419473436775,-15.0,4.0,3,50.22301362234366,False,True,3.3665738546626063,3,16.598090036588506,877.871,in_progress,0.0,0
320,11.0,-1.9896599886080635,-1.6747006244846403,177.68109901059677,-30.0,2.0,0,48.58479853836358,False,True,4.132773263695301,4,16.598090036588506,877.947,in_progress,0.0,0
320,12.0,-2.118871078761501,-1.6413425575760159,171.91589762494658,-30.0,4.0,1,46.148634589331095,False,True,5.014284274524976,4,16.598090036588506,878.01,in_progress,0.0,0
320,13.0,-2.2353595633294723,-1.5993352723670413,166.58111710405572,-30.0,4.0,1,44.879352939863374,False,True,5.757335889111293,5,16.598090036588506,878.07,in_progress,0.0,0
320,14.0,-2.3600621279209655,-1.5357895475239283,159.29298627992773,0.0,4.0,5,56.815841878730424,False,True,6.845476220993869,5,16.598090036588506,878.144,in_progress,0.0,0
320,15.0,-2.4882826003631484,-1.4709011199211512,154.62005097627764,0.0,4.0,5,63.0130217884642,False,True,7.660909549744828,6,16.598090036588506,878.21,in_progress,0.0,0
320,16.0,-2.650121385188526,-1.4068450507451418,155.98691724028726,0.0,4.0,5,54.91665121278455,False,True,8.454791816059931,6,16.598090036588506,878.27,in_progress,0.0,0
320,17.0,-2.8195543972676695,-1.356963897538174,160.8133412091268,0.0,2.0,4,30.4619153117761,False,True,9.135156609146861,7,16.598090036588506,878.336,in_progress,0.0,0
320,18.0,-2.9915705225011426,-1.319753298492424,166.68797626206523,15.0,4.0,7,16.411879965397386,False,True,9.751596766336512,7,16.598090036588506,878.402,in_progress,0.0,0
320,19.0,-3.1711306816961695,-1.295431485094806,172.19950970814884,0.0,2.0,4,0.7636849989095862,False,True,10.022578783166972,7,16.598090036588506,878.468,in_progress,0.0,0
320,20.0,-3.319594856575874,-1.2898088650626949,177.74203633799502,15.0,4.0,7,0.1,False,False,10.076213963654455,7,16.598090036588506,878.541,in_progress,0.0,0
320,21.0,-3.5348404561740576,-1.2986562579878507,-175.259625532673,-30.0,2.0,0,0.1,True,False,10.345531103328891,7,16.598090036588506,878.599,off_track,0.0,0
321,1.0,-2.265975193893777,-1.6588688773177325,165.31620680689062,-30.0,2.0,0,0.0,False,True,0.8448354098912175,5,16.598090036588506,878.736,prepare,0.0,0
321,2.0,-2.2657479764937856,-1.658895492065513,165.3147835988659,0.0,4.0,5,64.30066178672718,False,True,0.8434705420406023,5,16.598090036588506,878.807,in_progress,0.0,0
321,3.0,-2.2715801864561302,-1.6583930568290475,165.63225528372186,0.0,4.0,5,64.19490940696303,False,True,0.8782279256996275,5,16.598090036588506,878.874,in_progress,0.0,0
321,4.0,-2.2883890628099333,-1.6559781142871277,166.25804019177937,0.0,4.0,5,64.01936254202329,False,True,0.9798781286211575,5,16.598090036588506,878.938,in_progress,0.0,0
321,5.0,-2.320062020602971,-1.6472160541401362,166.04825657266716,-30.0,2.0,0,51.4009395370188,False,True,1.177850057337193,5,16.598090036588506,879.006,in_progress,0.0,0
321,6.0,-2.356984427980987,-1.626282795184474,163.36805875068697,-30.0,2.0,0,51.487368072339834,False,True,1.4373621763389606,5,16.598090036588506,879.071,in_progress,0.0,0
321,7.0,-2.3990797262724115,-1.5847512429976753,156.88670421818847,0.0,4.0,5,63.808818542864984,False,True,1.793445846626722,5,16.598090036588506,879.133,in_progress,0.0,0
321,8.0,-2.4516239499810673,-1.5276756857867513,149.82358348026696,-30.0,2.0,0,51.099083079949146,False,True,2.2607875106832767,6,16.598090036588506,879.203,in_progress,0.0,0
321,9.0,-2.5026981513265247,-1.475465591271083,145.16729279458147,-15.0,2.0,2,51.19409700780513,False,True,2.7007743151272248,6,16.598090036588506,879.29,in_progress,0.0,0
321,10.0,-2.563405072753411,-1.386117521192791,136.995326811964,-30.0,4.0,1,52.010102616733974,False,True,3.362461002492709,6,16.598090036588506,879.346,in_progress,0.0,0
321,11.0,-2.607806405194986,-1.304632422736945,130.4320371876977,-15.0,2.0,2,51.88278905158047,False,True,3.9192025018931305,6,16.598090036588506,879.414,in_progress,0.0,0
321,12.0,-2.647035640688336,-1.1966273148401703,121.37976691309177,-30.0,4.0,1,52.46494318572752,False,True,4.610300660299633,7,16.598090036588506,879.473,in_progress,0.0,0
321,13.0,-2.6789910130135683,-1.0700512475548998,112.78679410182583,-15.0,4.0,3,51.555977740543554,False,True,5.403781359114161,7,16.598090036588506,879.547,in_progress,0.0,0
321,14.0,-2.690585805997065,-0.9488748400691174,104.20475627115705,-30.0,2.0,0,49.735698076832364,False,True,6.128419159394083,8,16.598090036588506,879.611,in_progress,0.0,0
321,15.0,-2.688896991822114,-0.799417143827296,93.95687149318329,30.0,4.0,9,46.07457097654891,False,True,7.0251364527344,8,16.598090036588506,879.678,in_progress,0.0,0
321,16.0,-2.684133183364602,-0.6706874855365782,89.23268656114112,-30.0,4.0,1,43.232573445982766,False,True,7.78196599976682,8,16.598090036588506,879.747,in_progress,0.0,0
321,17.0,-2.6867913492771622,-0.5213127129180657,89.12798001158262,15.0,2.0,6,40.739348101635684,False,True,8.669308584961382,9,16.598090036588506,879.811,in_progress,0.0,0
321,18.0,-2.679753271624275,-0.36647481614111277,87.52853008105147,15.0,2.0,6,37.32564329328866,False,True,9.588171465080501,9,16.598090036588506,879.874,in_progress,0.0,0
321,19.0,-2.681431802154391,-0.23149541999191348,89.01740985047648,30.0,2.0,8,35.127029378368526,False,True,10.39063106312247,10,16.598090036588506,879.941,in_progress,0.0,0
321,20.0,-2.694130782816363,-0.09103681234884123,92.0638045998095,30.0,2.0,8,33.54437100914362,False,True,11.195377981511982,10,16.598090036588506,880.002,in_progress,0.0,0
321,21.0,-2.7174888236440364,0.046890238091553724,95.7150113276449,0.0,4.0,5,41.16149641639976,False,True,12.03737328391336,11,16.598090036588506,880.072,in_progress,0.0,0
321,22.0,-2.740682997993593,0.19130485194488356,97.22009897984644,15.0,2.0,6,31.9278014229477,False,True,12.878302349124892,11,16.598090036588506,880.14,in_progress,0.0,0
321,23.0,-2.7704288345824284,0.3543694561898932,99.10739171791631,15.0,4.0,7,30.897796578738014,False,True,13.875004294772076,12,16.598090036588506,880.21,in_progress,0.0,0
321,24.0,-2.80718131461151,0.49528091892111953,101.97226580132354,0.0,2.0,4,31.17347755651952,False,True,14.771395008978716,12,16.598090036588506,880.272,in_progress,0.0,0
321,25.0,-2.8472609203582673,0.6479428022070446,104.10741969924015,0.0,2.0,4,31.588176013672065,False,True,15.72193508930751,13,16.598090036588506,880.337,in_progress,0.0,0
321,26.0,-2.8818211439994963,0.8010694205494558,103.40364803244285,-15.0,2.0,2,32.22010971161038,False,True,16.79586235968505,13,16.598090036588506,880.403,in_progress,0.0,0
321,27.0,-2.90783705964105,0.9403883622017299,102.00492197293876,15.0,4.0,7,32.812555201107585,False,True,17.648317271283116,14,16.598090036588506,880.481,in_progress,0.0,0
321,28.0,-2.937815683707288,1.0888156872389412,101.930518802633,-15.0,2.0,2,37.36054221526308,False,True,18.873745570208335,14,16.598090036588506,880.54,in_progress,0.0,0
321,29.0,-2.974653111679276,1.234219804919649,103.54009063720115,15.0,2.0,6,43.68113081585877,False,True,19.694423246502645,15,16.598090036588506,880.61,in_progress,0.0,0
321,30.0,-3.0083920739646413,1.3699177164163079,103.83548898939279,15.0,2.0,6,50.571638832985165,False,True,20.480125450867444,15,16.598090036588506,880.677,in_progress,0.0,0
321,31.0,-3.050584015302697,1.5036415519028834,105.62640797151562,15.0,4.0,7,39.78385973482273,False,True,21.031658114301976,16,16.598090036588506,880.746,in_progress,0.0,0
321,32.0,-3.106552594488687,1.6426842099010532,108.99623214771671,-30.0,4.0,1,27.97167166431712,False,True,21.5667912577014,16,16.598090036588506,880.802,in_progress,0.0,0
321,33.0,-3.167437601804554,1.7822445725284248,111.59030361301184,0.0,2.0,4,14.966314852894309,False,True,21.690878827985483,16,16.598090036588506,880.873,in_progress,0.0,0
321,34.0,-3.223999408852262,1.9178165459272334,112.26861971593385,-30.0,4.0,1,1.2947935623149665,False,True,21.690878827985483,16,16.598090036588506,880.937,in_progress,0.0,0
321,35.0,-3.2853010354941454,2.061421404025742,112.28590773463115,30.0,2.0,8,0.1,False,False,21.690878827985483,16,16.598090036588506,881.012,in_progress,0.0,0
321,36.0,-3.3409388958766857,2.2205557640453755,110.00355274862429,0.0,4.0,5,0.125,True,False,21.690878827985483,16,16.598090036588506,881.061,off_track,0.0,0
322,1.0,-2.7299946647719975,-1.0093441045959315,113.33689347183297,0.0,4.0,5,0.0,False,True,0.8342036317408374,7,16.598090036588506,881.205,prepare,0.0,0
322,2.0,-2.7299538712004243,-1.0094816484662732,113.34046084830366,15.0,2.0,6,50.7595098397393,False,True,0.8333399118280599,7,16.598090036588506,881.273,in_progress,0.0,0
322,3.0,-2.7343895768076285,-1.0034167709967743,113.71708294690208,-15.0,4.0,3,50.48306179242723,False,True,0.8753569637105191,7,16.598090036588506,881.339,in_progress,0.0,0
322,4.0,-2.743662070021021,-0.9870988956597592,114.08647510216382,-15.0,4.0,3,49.996878552338956,False,True,0.9844366351730873,8,16.598090036588506,881.4,in_progress,0.0,0
322,5.0,-2.7491483524788207,-0.9573480736608909,112.3543277960923,-30.0,4.0,1,50.21557238569476,False,True,1.1662832375266843,8,16.598090036588506,881.473,in_progress,0.0,0
322,6.0,-2.746121232628463,-0.8945003283551984,106.25355888866625,30.0,4.0,9,52.09208574528983,False,True,1.5286332235157976,8,16.598090036588506,881.538,in_progress,0.0,0
322,7.0,-2.7426875801712365,-0.8402919703813676,101.90207486193941,15.0,2.0,6,52.15042147599477,False,True,1.8399459412472368,8,16.598090036588506,881.603,in_progress,0.0,0
322,8.0,-2.7602672858364756,-0.7744372045787031,102.60987420895913,30.0,2.0,8,52.628578768152714,False,True,2.252683285740256,8,16.598090036588506,881.671,in_progress,0.0,0
322,9.0,-2.8016572731366165,-0.6938914402636698,107.62043036993957,30.0,2.0,8,50.759996898470874,False,True,2.775749095904198,8,16.598090036588506,881.726,in_progress,0.0,0
322,10.0,-2.858573675229955,-0.6196181753356235,114.55326208946619,-30.0,2.0,0,46.549875847859354,False,True,3.2790066868727235,9,16.598090036588506,881.807,in_progress,0.0,0
322,11.0,-2.9227137241037093,-0.5360067445552223,119.70630121423763,-30.0,4.0,1,41.78244921070478,False,True,3.838497049763401,9,16.598090036588506,881.871,in_progress,0.0,0
